orgName,venueName,address,cityName,postcode,stateName,countryName,categoryName,menuItemName,cost,genericDishName,toppingName
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,pork
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,american,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,romaine
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,american,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,american,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,american,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,dress
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,grill,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,romaine
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,grill,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,grill,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,grill,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,dress
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,sport,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,romaine
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,sport,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,sport,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,sport,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,dress
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,bar,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,romaine
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,bar,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,bar,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,bar,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,dress
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,romaine
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,dress
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,romaine
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,chicken
